age,height_cm,weight_kg,bmi,shoulder_width_cm,waist_circumference_cm,hip_circumference_cm,waist_hip_ratio,chest_circumference_cm,hand_length_cm,foot_length_cm,neck_circumference_cm,wrist_circumference_cm,voice_frequency_hz,stride_length_cm,grip_strength_kg,pulse_rate_bpm,systolic_bp_mmhg,body_fat_percentage,bone_density_g_cm2,gender,age_category,target
34,167.7,75.8,27.0,47.5,100.3,92.3,1.086,98.6,18.2,27.9,40.9,19.1,140.2,68.2,47.2,57.0,109.0,15.9,1.264,male,adult,adult_male
37,150.2,58.9,26.1,40.3,76.7,101.1,0.759,84.5,15.9,23.3,30.5,16.6,194.3,65.5,31.4,68.0,100.0,19.5,1.219,female,adult,adult_female
26,152.0,52.0,22.5,40.0,78.8,104.2,0.756,90.3,15.9,20.7,25.0,15.2,229.4,70.4,22.4,63.0,102.0,25.4,1.072,female,young,young_female
46,156.4,63.4,25.9,38.0,76.3,90.3,0.845,93.2,16.1,24.0,31.7,15.2,274.2,62.5,39.1,45.0,92.0,18.8,1.002,female,adult,adult_female
60,173.3,85.3,28.4,44.3,85.7,100.5,0.853,102.5,20.4,28.4,31.5,15.8,107.5,93.4,46.1,78.0,143.0,18.1,1.051,male,old,old_male
73,158.9,64.6,25.6,41.5,68.1,100.2,0.68,96.7,16.6,23.5,28.9,16.1,205.4,65.4,32.8,59.0,163.0,14.6,1.044,female,old,old_female
81,172.2,78.7,26.6,45.8,105.8,95.2,1.111,91.3,18.8,30.6,29.6,18.3,141.1,69.8,53.8,80.0,142.0,21.6,0.944,male,old,old_male
61,187.6,110.3,31.3,47.2,94.8,98.2,0.966,115.0,21.4,24.0,39.5,16.8,136.1,80.3,33.5,74.0,108.0,11.0,1.179,male,old,old_male
24,168.9,87.9,30.8,45.4,94.2,94.3,0.999,101.6,17.3,26.6,32.8,17.4,114.4,80.2,42.2,58.0,85.0,18.8,1.39,male,young,young_male
54,167.0,59.4,21.3,39.9,82.8,99.4,0.833,79.4,16.1,22.6,31.8,15.7,214.4,61.3,31.0,78.0,135.0,30.4,1.04,female,adult,adult_female
84,162.2,74.5,28.3,37.2,83.9,98.4,0.853,92.9,15.5,26.9,30.2,14.6,189.5,71.1,27.5,65.0,175.0,26.7,0.632,female,old,old_female
71,162.2,103.6,39.4,44.2,102.7,97.5,1.054,86.6,18.0,28.1,40.6,17.4,93.0,81.5,39.5,63.0,98.0,19.6,1.026,male,old,old_male
26,161.4,78.5,30.1,42.7,70.8,92.1,0.769,89.7,15.4,21.6,29.5,14.1,209.1,69.2,35.9,70.0,112.0,28.4,1.108,female,young,young_female
21,180.5,78.3,24.0,43.0,86.2,98.6,0.874,101.0,18.2,26.9,39.5,15.1,131.4,93.0,46.4,50.0,158.0,26.2,1.178,male,young,young_male
58,178.5,74.4,23.3,35.5,76.3,92.5,0.825,96.7,17.7,24.6,29.9,15.1,166.3,61.7,35.1,62.0,116.0,25.0,1.083,female,adult,adult_female
22,162.8,74.2,28.0,38.5,81.9,98.8,0.829,108.1,17.5,24.0,34.8,15.1,194.1,65.6,30.5,66.0,114.0,24.2,1.236,female,young,young_female
82,177.1,89.0,28.4,44.5,94.8,100.2,0.947,107.2,16.2,25.4,35.4,16.4,106.6,77.7,49.5,61.0,133.0,17.5,0.989,male,old,old_male
18,158.4,46.4,18.5,40.9,71.2,95.9,0.742,94.9,16.4,22.8,26.9,15.9,237.0,59.5,26.6,78.0,124.0,30.6,1.391,female,young,young_female
56,149.1,59.3,26.7,41.5,67.6,89.5,0.755,97.1,17.5,24.0,29.1,18.1,179.6,68.8,26.7,60.0,122.0,25.1,0.858,female,adult,adult_female
25,163.9,72.9,27.1,37.7,86.5,90.3,0.959,106.4,17.0,20.9,32.3,14.2,231.0,64.7,24.4,48.0,89.0,28.8,1.304,female,young,young_female
23,165.2,65.5,24.0,39.4,70.0,98.1,0.714,93.3,15.9,23.0,31.0,14.3,181.3,68.3,36.6,78.0,97.0,26.8,1.248,female,young,young_female
62,169.4,104.4,36.4,49.4,109.9,97.2,1.13,100.6,19.2,27.0,39.6,19.0,162.3,76.8,57.0,85.0,124.0,23.7,1.148,male,old,old_male
84,158.1,68.6,27.4,39.6,77.6,100.1,0.775,109.1,19.1,23.7,32.1,15.1,225.3,62.9,24.1,88.0,124.0,17.7,0.8,female,old,old_female
63,156.9,61.1,24.8,42.5,90.0,106.1,0.848,101.1,15.5,20.7,35.1,14.8,228.7,64.4,7.1,76.0,130.0,21.3,0.957,female,old,old_female
43,146.4,67.4,31.4,34.5,77.6,97.6,0.794,91.3,18.0,21.1,34.8,14.2,171.1,66.6,11.2,75.0,118.0,31.2,1.2,female,adult,adult_female
18,168.2,67.1,23.7,41.1,101.2,85.4,1.186,106.0,15.8,27.4,40.9,18.6,116.8,87.5,41.4,69.0,102.0,11.9,1.206,male,young,young_male
28,162.9,38.2,14.4,40.7,77.8,102.0,0.763,68.8,19.5,22.8,34.8,13.8,225.3,62.7,26.5,74.0,127.0,27.5,1.225,female,young,young_female
19,179.5,87.9,27.3,43.4,93.0,98.0,0.948,103.6,18.6,26.4,40.3,18.3,156.3,72.1,52.4,65.0,113.0,12.0,1.222,male,young,young_male
61,160.3,84.6,32.9,48.1,97.9,99.3,0.986,107.1,20.9,25.5,38.4,15.5,94.4,68.1,42.6,55.0,121.0,15.8,0.975,male,old,old_male
73,182.7,102.7,30.8,54.4,98.7,85.2,1.158,103.4,15.4,24.9,42.9,17.5,123.6,88.9,48.0,56.0,129.0,8.0,0.975,male,old,old_male
73,147.3,66.1,30.5,35.0,72.5,97.6,0.743,103.1,18.1,20.6,29.5,16.1,185.4,66.9,23.2,75.0,113.0,27.2,0.855,female,old,old_female
36,171.3,93.8,32.0,42.0,90.5,110.3,0.821,105.3,19.9,28.3,36.6,15.4,123.5,79.6,32.1,72.0,134.0,10.4,1.214,male,adult,adult_male
84,165.8,79.2,28.8,35.7,93.7,91.0,1.03,96.2,16.1,22.5,33.1,16.5,250.6,60.3,28.0,76.0,130.0,17.8,0.59,female,old,old_female
66,169.6,77.3,26.9,36.4,74.0,107.3,0.69,93.4,17.3,24.2,28.7,13.0,249.5,60.8,35.7,74.0,124.0,28.2,0.819,female,old,old_female
62,165.6,55.9,20.4,34.0,82.1,98.0,0.838,98.9,14.8,25.0,33.7,14.6,180.3,74.2,25.7,81.0,142.0,28.9,0.836,female,old,old_female
67,172.0,92.4,31.2,46.1,98.6,98.5,1.001,93.4,17.7,24.6,37.3,17.1,134.2,72.9,51.7,68.0,137.0,15.0,0.977,male,old,old_male
74,175.5,95.0,30.9,38.1,117.7,101.5,1.16,116.2,19.4,25.3,36.6,16.2,139.6,82.3,52.3,52.0,129.0,19.7,0.9,male,old,old_male
80,160.6,70.7,27.4,39.6,84.9,102.7,0.827,92.5,14.6,21.6,31.6,13.5,225.0,75.7,25.3,66.0,135.0,23.1,0.859,female,old,old_female
18,165.7,55.5,20.2,35.9,78.9,87.8,0.899,95.8,17.9,22.4,35.3,13.5,243.6,58.3,18.7,70.0,93.0,26.9,1.397,female,young,young_female
52,162.8,53.8,20.3,35.0,74.8,81.3,0.92,108.5,15.6,22.9,34.9,14.0,152.4,65.8,21.0,49.0,130.0,26.0,1.16,female,adult,adult_female
57,173.4,75.4,25.1,44.7,91.2,98.5,0.926,106.1,15.4,25.8,33.5,16.6,117.5,83.9,44.8,71.0,140.0,21.1,1.053,male,adult,adult_male
76,169.8,70.2,24.4,42.1,106.9,91.1,1.173,93.6,19.8,28.4,40.2,18.5,104.9,69.5,55.6,74.0,145.0,25.8,0.906,male,old,old_male
67,167.0,71.9,25.8,35.0,80.8,104.7,0.772,83.4,17.4,21.8,32.5,16.0,156.8,62.4,44.3,60.0,151.0,23.3,0.864,female,old,old_female
80,177.6,67.6,21.4,45.7,91.5,92.8,0.986,95.4,20.4,29.5,38.9,17.5,106.4,70.8,51.4,77.0,127.0,16.2,1.05,male,old,old_male
64,174.9,85.7,28.0,41.3,96.4,89.9,1.072,97.4,19.9,29.3,39.2,15.2,128.9,85.2,38.7,74.0,130.0,17.1,0.941,male,old,old_male
82,159.4,73.4,28.9,27.9,81.9,91.3,0.897,101.7,17.7,22.3,31.1,14.5,199.7,60.8,30.4,79.0,126.0,24.9,0.693,female,old,old_female
29,189.4,73.5,20.5,48.9,98.9,91.1,1.086,109.6,20.0,20.5,40.4,16.4,102.3,72.9,34.1,70.0,123.0,24.3,1.097,male,young,young_male
28,168.3,75.2,26.6,39.1,75.4,98.6,0.765,85.2,19.0,25.5,33.1,15.2,199.7,70.6,6.3,64.0,116.0,26.7,1.161,female,young,young_female
66,174.9,55.3,18.1,44.5,104.5,99.7,1.049,104.8,17.4,26.8,36.3,17.5,122.4,72.1,38.3,59.0,128.0,22.8,0.967,male,old,old_male
49,161.9,75.5,28.8,44.1,64.5,87.3,0.738,90.6,17.1,24.2,29.8,13.7,213.5,66.7,35.4,77.0,133.0,24.5,1.341,female,adult,adult_female
22,182.3,59.8,18.0,45.9,79.1,97.8,0.809,101.7,16.6,28.3,35.8,15.8,124.0,84.9,48.4,75.0,114.0,13.2,1.157,male,young,young_male
35,162.6,62.6,23.7,41.5,78.2,88.8,0.881,90.4,16.8,22.8,34.8,14.0,235.1,66.5,29.8,73.0,117.0,24.9,1.321,female,adult,adult_female
24,177.3,92.3,29.4,47.4,96.5,89.2,1.082,105.7,21.4,26.8,43.5,20.0,114.6,73.8,40.9,80.0,79.0,9.8,1.217,male,young,young_male
70,166.7,86.1,31.0,40.7,108.4,91.0,1.192,117.0,20.6,25.1,41.8,17.1,137.1,80.9,42.3,64.0,121.0,17.1,1.206,male,old,old_male
23,168.4,68.5,24.1,48.4,89.9,96.8,0.929,104.9,18.1,26.8,35.7,16.2,131.2,79.8,36.9,71.0,122.0,9.5,1.151,male,young,young_male
23,159.4,69.5,27.3,39.6,68.3,91.0,0.75,88.7,16.2,20.0,33.9,16.5,172.0,74.2,28.3,73.0,117.0,21.0,1.354,female,young,young_female
29,168.8,65.1,22.8,46.5,96.9,92.7,1.045,97.2,17.2,28.9,36.5,16.7,126.0,79.7,35.9,55.0,106.0,10.2,1.175,male,young,young_male
78,157.1,73.3,29.7,39.0,83.6,107.6,0.777,88.5,17.6,22.6,33.8,15.7,186.6,73.4,26.2,69.0,139.0,23.5,1.021,female,old,old_female
32,181.0,69.4,21.2,43.0,91.2,87.8,1.038,91.8,20.9,26.2,36.3,14.5,137.0,73.9,59.9,77.0,104.0,11.4,1.362,male,adult,adult_male
26,161.3,62.2,23.9,39.9,80.2,113.8,0.705,77.5,16.2,25.2,31.1,16.1,215.8,78.5,42.0,62.0,125.0,20.2,1.223,female,young,young_female
81,160.2,74.3,28.9,46.1,90.3,91.3,0.989,89.6,19.2,25.1,37.4,17.5,70.0,68.8,33.4,93.0,130.0,20.8,0.957,male,old,old_male
46,159.8,57.5,22.5,39.0,85.7,81.9,1.047,92.9,16.8,24.0,32.5,14.1,202.0,64.0,36.6,72.0,152.0,24.7,1.049,female,adult,adult_female
41,151.4,70.8,30.9,39.0,65.5,100.8,0.65,82.4,18.2,24.0,33.0,14.5,224.4,73.4,32.7,65.0,125.0,30.7,1.365,female,adult,adult_female
18,164.9,61.6,22.7,41.7,84.3,103.2,0.816,78.1,17.2,24.1,33.0,15.8,211.5,64.3,49.4,67.0,80.0,28.7,1.346,female,young,young_female
29,187.8,87.8,24.9,44.0,84.1,94.0,0.895,110.9,19.2,23.2,39.4,15.6,76.9,87.0,42.2,82.0,161.0,17.2,1.102,male,young,young_male
34,172.5,89.4,30.0,48.9,101.2,91.6,1.104,100.3,16.5,24.4,40.9,19.4,95.3,74.4,44.8,71.0,105.0,17.1,1.133,male,adult,adult_male
62,174.9,89.4,29.2,46.2,83.1,92.8,0.895,87.6,18.5,25.8,38.7,17.4,138.1,68.8,46.5,56.0,155.0,16.3,1.018,male,old,old_male
69,180.7,98.1,30.0,47.5,100.8,87.1,1.158,93.1,20.1,26.3,41.8,17.4,96.3,74.9,36.6,56.0,132.0,22.2,0.936,male,old,old_male
22,180.3,105.6,32.5,40.5,92.0,97.8,0.941,110.7,19.1,26.6,36.8,17.4,113.1,81.7,44.8,79.0,110.0,6.1,1.366,male,young,young_male
65,193.6,106.4,28.4,51.2,85.7,93.7,0.915,107.4,19.8,26.6,31.4,14.4,150.4,88.2,38.6,57.0,120.0,18.6,0.939,male,old,old_male
19,193.2,70.0,18.7,47.9,98.8,92.5,1.068,96.0,20.7,24.9,35.3,16.0,109.3,83.1,48.4,62.0,120.0,20.9,1.313,male,young,young_male
19,181.2,75.8,23.1,42.4,82.3,100.9,0.816,105.8,16.2,28.2,43.6,15.9,126.7,75.2,44.4,78.0,128.0,17.1,1.221,male,young,young_male
20,170.6,57.6,19.8,37.2,59.0,99.4,0.593,82.1,17.1,23.4,35.4,13.4,134.5,68.9,29.7,67.0,122.0,20.1,1.298,female,young,young_female
51,179.0,67.9,21.2,45.5,91.8,97.6,0.941,93.0,18.5,24.1,40.8,15.7,115.7,81.4,40.1,75.0,149.0,15.9,1.185,male,adult,adult_male
25,156.9,69.3,28.1,37.2,68.8,100.1,0.687,88.1,18.2,22.0,31.6,16.1,204.3,71.8,40.6,59.0,120.0,20.9,1.244,female,young,young_female
71,171.9,81.8,27.7,42.6,119.9,92.5,1.296,82.6,19.0,25.9,41.3,17.4,103.3,76.3,38.4,82.0,141.0,18.1,1.11,male,old,old_male
24,167.6,47.6,16.9,40.5,78.0,88.7,0.88,85.0,18.4,21.2,36.1,13.9,226.0,66.4,26.7,72.0,97.0,28.7,1.179,female,young,young_female
43,164.0,63.2,23.5,39.5,81.5,89.0,0.916,101.6,16.7,23.7,33.5,15.4,207.3,65.6,25.8,88.0,109.0,21.4,1.059,female,adult,adult_female
26,179.6,75.6,23.4,43.3,90.8,104.3,0.871,92.1,16.8,26.3,38.2,17.3,124.9,76.7,38.4,67.0,88.0,14.1,1.386,male,young,young_male
63,178.9,96.5,30.2,44.4,89.3,91.0,0.981,97.2,19.5,24.0,39.2,19.1,126.5,75.8,51.8,74.0,128.0,13.7,0.851,male,old,old_male
44,163.2,61.2,23.0,39.3,76.6,84.0,0.912,91.9,16.9,22.2,34.6,14.1,221.4,67.3,28.9,76.0,102.0,26.0,1.359,female,adult,adult_female
35,151.1,50.8,22.2,37.2,71.6,99.1,0.722,79.2,17.6,26.0,28.6,15.2,193.5,70.1,28.2,66.0,125.0,34.0,1.156,female,adult,adult_female
74,159.2,58.6,23.1,39.7,82.7,104.1,0.794,94.8,16.3,24.9,35.4,15.3,211.5,61.4,56.0,57.0,171.0,23.5,0.905,female,old,old_female
73,185.6,61.2,17.8,48.4,95.3,97.9,0.973,107.3,19.7,24.3,36.9,14.8,129.8,88.2,46.4,77.0,134.0,13.4,1.095,male,old,old_male
21,166.5,75.3,27.2,42.4,81.8,92.4,0.885,102.7,16.9,28.8,40.0,16.5,101.9,77.5,53.5,63.0,67.0,21.2,1.228,male,young,young_male
80,166.5,81.4,29.4,30.3,76.9,90.9,0.846,83.8,16.1,24.8,34.1,14.7,238.3,62.7,18.9,87.0,114.0,22.0,0.783,female,old,old_female
28,166.6,65.7,23.7,32.8,81.2,85.2,0.953,74.1,16.6,23.2,33.2,15.2,183.5,71.6,26.6,69.0,117.0,24.0,1.203,female,young,young_female
26,172.2,62.0,20.9,46.3,96.2,97.7,0.984,115.4,19.0,27.3,34.7,16.4,133.9,83.1,32.9,64.0,126.0,17.9,1.27,male,young,young_male
78,172.4,68.8,23.1,43.0,89.2,94.7,0.941,103.5,19.3,28.1,42.5,18.5,108.8,73.3,34.2,75.0,133.0,12.9,0.955,male,old,old_male
22,161.2,73.4,28.3,33.5,84.7,88.9,0.953,86.5,16.8,21.9,34.3,17.2,193.6,65.8,26.8,86.0,128.0,19.1,1.292,female,young,young_female
20,166.7,70.4,25.4,37.9,72.9,97.7,0.746,92.3,15.4,23.4,28.6,15.4,190.1,68.2,33.9,86.0,138.0,27.4,1.279,female,young,young_female
56,154.5,59.5,24.9,37.2,88.4,104.4,0.847,81.6,18.0,24.2,29.1,16.0,248.4,62.4,20.7,82.0,132.0,27.8,0.985,female,adult,adult_female
19,168.5,71.5,25.2,44.6,78.9,104.2,0.757,102.6,20.1,27.5,42.4,15.8,134.0,77.8,54.4,72.0,114.0,15.3,1.39,male,young,young_male
78,172.3,82.0,27.6,34.1,88.6,98.5,0.9,94.1,17.4,22.6,30.0,14.2,187.1,63.8,23.4,74.0,146.0,27.4,0.83,female,old,old_female
20,189.4,81.3,22.6,45.5,103.7,93.9,1.104,97.0,19.2,27.5,32.8,17.4,136.2,76.4,62.1,60.0,122.0,9.9,1.088,male,young,young_male
29,159.7,79.7,31.2,43.6,90.0,78.8,1.143,105.7,21.0,26.8,34.1,15.8,71.4,83.9,43.8,83.0,116.0,19.0,1.26,male,young,young_male
20,174.2,66.7,22.0,41.7,83.4,112.7,0.74,112.0,17.0,23.4,39.4,17.8,131.0,76.5,45.7,46.0,107.0,10.7,1.268,male,young,young_male
51,182.9,79.5,23.8,38.3,72.4,100.6,0.72,73.1,15.7,19.5,29.3,14.1,246.9,54.2,24.7,78.0,132.0,32.3,0.992,female,adult,adult_female
18,149.3,77.2,34.6,36.3,84.0,107.8,0.778,90.0,16.6,21.7,30.7,14.0,187.5,74.0,28.3,87.0,101.0,26.9,1.339,female,young,young_female
25,155.9,66.0,27.2,30.1,75.0,97.3,0.771,99.4,15.8,23.1,29.7,15.3,187.6,66.0,34.9,70.0,113.0,17.8,1.195,female,young,young_female
46,174.6,85.0,27.9,47.6,97.5,93.7,1.041,107.8,17.6,26.7,39.7,18.6,136.4,84.4,44.2,65.0,119.0,16.3,0.939,male,adult,adult_male
58,177.7,76.4,24.2,44.7,98.2,93.9,1.046,96.4,18.6,27.9,39.5,17.1,123.8,74.6,43.4,61.0,125.0,21.7,0.952,male,adult,adult_male
51,157.2,72.0,29.2,42.5,67.9,105.2,0.646,88.4,16.8,23.9,31.5,16.3,199.9,66.1,36.4,64.0,129.0,16.7,1.117,female,adult,adult_female
59,181.3,65.8,20.0,42.2,78.3,89.0,0.88,103.2,17.8,22.3,30.8,15.4,221.6,69.0,30.5,89.0,146.0,26.0,1.101,female,adult,adult_female
27,164.7,77.3,28.5,36.0,86.0,82.7,1.04,95.1,15.5,24.4,34.2,17.5,245.5,67.2,27.5,88.0,81.0,35.9,1.268,female,young,young_female
32,163.6,93.3,34.8,42.5,85.1,88.9,0.957,107.6,16.7,27.2,41.1,17.8,134.3,82.6,37.4,82.0,109.0,14.7,1.157,male,adult,adult_male
22,181.5,79.4,24.1,46.1,87.2,103.5,0.842,102.5,16.9,25.1,42.9,16.0,125.5,82.5,35.6,57.0,94.0,13.5,1.35,male,young,young_male
75,160.4,110.7,43.0,45.1,88.2,84.5,1.044,89.8,18.0,25.7,42.0,18.2,103.2,80.5,52.7,82.0,115.0,12.4,1.197,male,old,old_male
22,166.6,71.8,25.9,36.2,76.0,108.7,0.699,88.0,15.7,25.2,36.9,15.0,235.3,74.7,37.8,89.0,119.0,20.6,1.439,female,young,young_female
73,166.2,85.6,31.0,49.0,108.1,98.0,1.103,94.2,23.6,23.8,37.1,14.5,130.8,78.9,38.5,67.0,150.0,16.3,1.018,male,old,old_male
66,163.5,74.0,27.7,38.0,70.3,105.4,0.667,94.0,17.2,22.6,31.2,15.8,184.5,76.1,18.0,79.0,138.0,27.5,0.755,female,old,old_female
27,186.9,74.3,21.3,40.4,86.1,93.3,0.923,100.0,18.6,25.9,39.4,18.3,107.0,70.8,42.2,60.0,94.0,12.7,1.233,male,young,young_male
22,182.9,97.2,29.0,44.8,80.3,90.8,0.884,110.1,19.2,25.8,38.9,16.9,150.9,73.5,40.7,57.0,114.0,15.1,1.132,male,young,young_male
74,174.6,100.1,32.8,45.4,82.6,92.0,0.898,115.6,18.9,19.4,33.6,16.4,140.7,76.4,41.1,71.0,141.0,8.7,0.945,male,old,old_male
81,191.8,86.0,23.4,40.5,110.5,88.0,1.256,103.7,17.4,24.8,35.5,16.1,109.2,74.7,54.7,63.0,130.0,13.8,1.063,male,old,old_male
34,176.6,86.2,27.7,42.1,84.5,90.9,0.93,99.1,19.8,26.6,39.1,19.0,133.8,77.1,35.5,61.0,113.0,19.1,1.177,male,adult,adult_male
72,170.9,98.6,33.8,47.2,106.4,103.2,1.031,106.9,21.8,26.2,37.5,17.9,115.7,89.1,41.7,75.0,119.0,22.7,0.972,male,old,old_male
80,156.2,115.0,47.1,44.1,98.7,94.7,1.042,98.6,18.1,26.7,33.4,18.1,111.7,71.2,47.9,61.0,151.0,18.4,1.135,male,old,old_male
82,172.6,98.3,33.0,48.4,94.1,90.0,1.045,100.9,18.1,22.7,35.0,15.2,144.2,88.2,33.1,70.0,179.0,18.4,0.915,male,old,old_male
33,182.9,92.5,27.6,41.7,79.8,94.3,0.845,95.6,17.8,23.5,36.6,15.3,98.1,79.8,44.6,73.0,92.0,15.0,1.393,male,adult,adult_male
55,159.4,51.9,20.4,40.6,70.6,88.9,0.794,90.4,18.8,22.4,33.4,15.9,221.1,74.4,22.3,62.0,112.0,24.3,0.873,female,adult,adult_female
80,172.4,109.0,36.7,44.2,98.3,91.6,1.073,87.4,19.4,22.2,37.8,14.9,159.7,83.5,49.3,70.0,144.0,21.4,1.023,male,old,old_male
19,164.8,67.3,24.8,38.3,73.6,92.9,0.792,90.1,17.2,22.7,30.4,15.2,189.1,69.6,35.9,82.0,114.0,27.2,1.223,female,young,young_female
42,149.8,70.8,31.6,37.8,78.6,92.0,0.855,90.8,17.2,22.5,28.2,14.7,174.6,71.3,13.1,82.0,127.0,27.2,0.924,female,adult,adult_female
67,167.6,71.1,25.3,45.6,95.2,101.2,0.94,103.1,20.3,25.4,37.2,19.2,128.7,73.7,59.7,54.0,131.0,17.0,1.091,male,old,old_male
47,153.3,65.6,27.9,39.3,72.3,96.2,0.751,84.3,16.8,23.9,32.4,14.3,215.6,71.6,11.6,84.0,118.0,27.1,1.235,female,adult,adult_female
18,173.9,59.7,19.7,45.0,90.6,88.7,1.022,86.3,17.6,20.4,30.9,14.4,256.3,68.8,35.2,67.0,108.0,21.8,1.108,female,young,young_female
